train_step,forward_agent/optimal_pd,method,source
28051,94.46608701974226,RISC,risc
28072,95.53082008082802,RISC,risc
28093,86.835074240448,RISC,risc
28139,85.01302501679649,RISC,risc
28160,80.54742673511058,RISC,risc
28188,71.76841338577734,RISC,risc
28209,81.26545878731257,RISC,risc
28230,93.47216185949127,RISC,risc
28273,79.79751574585156,RISC,risc
28327,63.22009803233995,RISC,risc
28348,81.33959124623277,RISC,risc
28454,52.24355421711484,RISC,risc
28508,72.99738034705192,RISC,risc
28556,84.96146175085289,RISC,risc
28593,83.5540713555175,RISC,risc
28614,86.56315241564893,RISC,risc
28669,83.64139922075834,RISC,risc
28690,90.38706725732585,RISC,risc
28741,88.19906019865552,RISC,risc
28762,76.83025846474779,RISC,risc
28797,73.25332940009663,RISC,risc
28900,63.12694327337094,RISC,risc
28937,72.24041832076425,RISC,risc
28968,72.07264132273879,RISC,risc
28989,82.5871431988095,RISC,risc
29045,73.75429776792902,RISC,risc
29067,77.69928050590454,RISC,risc
29089,78.23549993385632,RISC,risc
29114,76.18699363019358,RISC,risc
29164,61.74573642809064,RISC,risc
29197,80.60241703323864,RISC,risc
29227,81.66411177020683,RISC,risc
29248,79.2766749812192,RISC,risc
29269,79.48588220401405,RISC,risc
29312,80.17730624815029,RISC,risc
29333,85.50736347856235,RISC,risc
29378,78.31296196236117,RISC,risc
29436,65.83011785633481,RISC,risc
29490,83.72186798129701,RISC,risc
29521,79.5697986299737,RISC,risc
29559,75.79611914326412,RISC,risc
29580,79.36183799962838,RISC,risc
29603,79.74580175053978,RISC,risc
29624,69.18944665115836,RISC,risc
29657,56.3058031702233,RISC,risc
29689,71.30892946620668,RISC,risc
29710,79.5321073360873,RISC,risc
29733,80.1286003286185,RISC,risc
29754,68.31560644335133,RISC,risc
29807,74.68004346362429,RISC,risc
29839,67.84877642134833,RISC,risc
29881,64.87318792513834,RISC,risc
29902,65.18874252497602,RISC,risc
29968,63.28395228756671,RISC,risc
30030,74.571276778433,RISC,risc
30051,89.1932012011846,RISC,risc
30115,86.42626930908658,RISC,risc
30143,62.89253385406924,RISC,risc
30180,65.86177678735618,RISC,risc
30221,75.44421410667448,RISC,risc
30242,83.16351981500547,RISC,risc
30292,86.11146567221324,RISC,risc
30325,62.55013457732931,RISC,risc
30398,65.6441439934756,RISC,risc
30419,76.14637918127515,RISC,risc
30450,76.06981018714836,RISC,risc
30503,75.70600863845152,RISC,risc
30524,76.46519270429373,RISC,risc
30561,73.53206145239668,RISC,risc
30608,74.81995929756606,RISC,risc
30650,68.20932488105197,RISC,risc
30692,57.83335510174476,RISC,risc
30721,72.66978893717415,RISC,risc
30742,56.01610171427629,RISC,risc
30780,66.2031011534718,RISC,risc
30801,34.875537608887186,RISC,risc
30847,70.07417410157429,RISC,risc
30868,67.4283903052638,RISC,risc
30894,66.89833920175559,RISC,risc
30947,59.28872890406931,RISC,risc
30999,75.53271843821479,RISC,risc
31020,58.18391375010902,RISC,risc
