returns,train_step,method,seed,environment,source
1.0,3470000.0,Episodic,1,Sawyer Door,baseline
1.0,3480000.0,Episodic,1,Sawyer Door,baseline
1.0,3490000.0,Episodic,1,Sawyer Door,baseline
1.0,3500000.0,Episodic,1,Sawyer Door,baseline
1.0,3510000.0,Episodic,1,Sawyer Door,baseline
1.0,3520000.0,Episodic,1,Sawyer Door,baseline
1.0,3530000.0,Episodic,1,Sawyer Door,baseline
1.0,3540000.0,Episodic,1,Sawyer Door,baseline
0.9,3550000.0,Episodic,1,Sawyer Door,baseline
1.0,3560000.0,Episodic,1,Sawyer Door,baseline
1.0,3570000.0,Episodic,1,Sawyer Door,baseline
1.0,3580000.0,Episodic,1,Sawyer Door,baseline
1.0,3590000.0,Episodic,1,Sawyer Door,baseline
1.0,3600000.0,Episodic,1,Sawyer Door,baseline
1.0,3610000.0,Episodic,1,Sawyer Door,baseline
1.0,3620000.0,Episodic,1,Sawyer Door,baseline
1.0,3630000.0,Episodic,1,Sawyer Door,baseline
1.0,3640000.0,Episodic,1,Sawyer Door,baseline
1.0,3650000.0,Episodic,1,Sawyer Door,baseline
1.0,3660000.0,Episodic,1,Sawyer Door,baseline
1.0,3670000.0,Episodic,1,Sawyer Door,baseline
1.0,3680000.0,Episodic,1,Sawyer Door,baseline
1.0,3690000.0,Episodic,1,Sawyer Door,baseline
1.0,3700000.0,Episodic,1,Sawyer Door,baseline
1.0,3710000.0,Episodic,1,Sawyer Door,baseline
1.0,3720000.0,Episodic,1,Sawyer Door,baseline
1.0,3730000.0,Episodic,1,Sawyer Door,baseline
1.0,3740000.0,Episodic,1,Sawyer Door,baseline
1.0,3750000.0,Episodic,1,Sawyer Door,baseline
1.0,3760000.0,Episodic,1,Sawyer Door,baseline
1.0,3770000.0,Episodic,1,Sawyer Door,baseline
1.0,3780000.0,Episodic,1,Sawyer Door,baseline
1.0,3790000.0,Episodic,1,Sawyer Door,baseline
1.0,3800000.0,Episodic,1,Sawyer Door,baseline
1.0,3810000.0,Episodic,1,Sawyer Door,baseline
1.0,3820000.0,Episodic,1,Sawyer Door,baseline
1.0,3830000.0,Episodic,1,Sawyer Door,baseline
1.0,3840000.0,Episodic,1,Sawyer Door,baseline
1.0,3850000.0,Episodic,1,Sawyer Door,baseline
1.0,3860000.0,Episodic,1,Sawyer Door,baseline
1.0,3870000.0,Episodic,1,Sawyer Door,baseline
1.0,3880000.0,Episodic,1,Sawyer Door,baseline
1.0,3890000.0,Episodic,1,Sawyer Door,baseline
1.0,3900000.0,Episodic,1,Sawyer Door,baseline
1.0,3910000.0,Episodic,1,Sawyer Door,baseline
1.0,3920000.0,Episodic,1,Sawyer Door,baseline
1.0,3930000.0,Episodic,1,Sawyer Door,baseline
1.0,3940000.0,Episodic,1,Sawyer Door,baseline
1.0,3950000.0,Episodic,1,Sawyer Door,baseline
